,composer,measure,starttime,stoptime,duration,instrument,line,note,year,year_stop,year_x,,10,1,
120,Stravinsky,1,3,3.5,0.5,viole,bass,g,13,13.5,15,,,,
121,Stravinsky,1,3.5,4,0.5,contrabass,bass,b,13.5,14,16.25,,,,
122,Stravinsky,1,4,4.5,0.5,contrabass,bass,c,14,14.5,17.5,,,,
123,Stravinsky,1,4.5,5,0.5,contrabass,bass,d,14.5,15,18.75,,,,
124,Stravinsky,2,1,1.5,0.5,contrabass,bass,g,21,21.5,20,,,,
125,Stravinsky,2,1.5,2,0.5,viole,bass,g,21.5,22,21.25,,,,
126,Stravinsky,2,2,2.5,0.5,viole,bass,c,22,22.5,22.5,,,,
127,Stravinsky,2,2.5,3,0.5,viole,bass,bflat,22.5,23,23.75,,,,
128,Stravinsky,2,3,3.5,0.5,viole,bass,a,23,23.5,25,,,,
129,Stravinsky,2,3.5,4.5,1,viole,bass,f,23.5,24.5,26.25,,,,
130,Stravinsky,2,4.5,5,0.5,viole,bass,e,24.5,25,28.75,,,,
131,Stravinsky,3,1,1.5,0.5,contrabass,bass,a,31,31.5,30,,,,
132,Stravinsky,3,1.5,2,0.5,viole,bass,a,31.5,32,31.25,,,,
133,Stravinsky,3,2,2.5,0.5,viole,bass,g,32,32.5,32.5,,,,
134,Stravinsky,3,2.5,3,0.5,viole,bass,f,32.5,33,33.75,,,,
135,Stravinsky,3,3,3.5,0.5,viole,bass,e,33,33.5,35,,,,
136,Stravinsky,3,3.5,4,0.5,viole,bass,c,33.5,34,36.25,,,,
137,Stravinsky,3,4,4.5,0.5,viole,bass,d,34,34.5,37.5,,,,
138,Stravinsky,3,4.5,5,0.5,viole,bass,b,34.5,35,38.75,,,,
139,Stravinsky,4,1,1.5,0.5,viole,bass,c,41,41.5,40,,,,
140,Stravinsky,4,1.5,2,0.5,contrabass,bass,d,41.5,42,41.25,,,,
141,Stravinsky,4,2,2.5,0.5,contrabass,bass,e,42,42.5,42.5,,,,
142,Stravinsky,4,2.5,3,0.5,contrabass,bass,c,42.5,43,43.75,,,,
143,Stravinsky,4,3,3.5,0.5,contrabass,bass,a,43,43.5,45,,,,
144,Stravinsky,4,3.5,4,0.5,contrabass,bass,b,43.5,44,46.25,,,,
145,Stravinsky,4,4,4.5,0.5,contrabass,bass,c,44,44.5,47.5,,,,
146,Stravinsky,4,4.5,5,0.5,contrabass,bass,a,44.5,45,48.75,,,,
147,Bach,5,1,2,1,organ,soprano,g,51,52,50,,,,
148,Bach,5,2,2.5,0.5,organ,soprano,e,52,52.5,52.5,,,,
149,Bach,5,2.5,3,0.5,organ,soprano,f,52.5,53,53.75,,,,
150,Bach,5,3,4,1,organ,soprano,g,53,54,55,,,,
151,Bach,5,4,5,1,organ,soprano,f,54,55,57.5,,,,
152,Bach,6,1,3,2,organ,soprano,e,61,63,60,,,,
153,Bach,7,2,3,1,organ,soprano,e,72,73,72.5,,,,
154,Bach,7,3,4,1,organ,soprano,a,73,74,75,,,,
155,Bach,7,4,5,1,organ,soprano,a,74,75,77.5,,,,
156,Bach,8,1,2.5,1.5,organ,soprano,g,81,82.5,80,,,,
157,Bach,8,2.5,3,0.5,organ,soprano,a,82.5,83,83.75,,,,
158,Bach,8,3,5,2,organ,soprano,b,83,85,85,,,,
159,Bach,9,1,2.5,1.5,organ,soprano,c,91,92.5,90,,,,
160,Bach,9,2.5,3,0.5,organ,soprano,b,92.5,93,93.75,,,,
161,Bach,9,3,5,2,organ,soprano,a,93,95,95,,,,
162,Bach,5,2,3,1,organ,middle,e,52,53,52.5,,,,
163,Bach,5,3,4,1,organ,middle,e,53,54,55,,,,
164,Bach,5,4,5,1,organ,middle,a,54,55,57.5,,,,
165,Bach,6,1,2,1,organ,middle,a,61,62,60,,,,
166,Bach,6,2,2.5,0.5,organ,middle,c,62,62.5,62.5,,,,
167,Bach,6,2.5,3,0.5,organ,middle,b,62.5,63,63.75,,,,
168,Bach,6,3,4,1,organ,middle,a,63,64,65,,,,
169,Bach,6,4,5,1,organ,middle,b,64,65,67.5,,,,
170,Bach,7,1,3,2,organ,middle,c,71,73,70,,,,
171,Bach,8,2,3,1,organ,middle,c,82,83,82.5,,,,
172,Bach,8,3,4,1,organ,middle,g,83,84,85,,,,
173,Bach,8,4,5,1,organ,middle,g,84,85,87.5,,,,
174,Bach,9,1,2.5,1.5,organ,middle,a,91,92.5,90,,,,
175,Bach,9,2.5,3,0.5,organ,middle,g,92.5,93,93.75,,,,
176,Bach,9,3,5,2,organ,middle,f,93,95,95,,,,
177,Bach,5,1,1.5,0.5,organ,bass,b,51,51.5,50,,,,
178,Bach,5,1.5,2,0.5,organ,bass,g,51.5,52,51.25,,,,
179,Bach,5,2,2.5,0.5,organ,bass,c,52,52.5,52.5,,,,
180,Bach,5,2.5,3,0.5,organ,bass,b,52.5,53,53.75,,,,
181,Bach,5,3,3.5,0.5,organ,bass,a,53,53.5,55,,,,
182,Bach,5,3.5,4.5,1,organ,bass,a,53.5,54.5,56.25,,,,
183,Bach,5,4.5,5,0.5,organ,bass,b,54.5,55,58.75,,,,
184,Bach,6,1,1.5,0.5,organ,bass,c,61,61.5,60,,,,
185,Bach,6,1.5,2,0.5,organ,bass,b,61.5,62,61.25,,,,
186,Bach,6,2,2.5,0.5,organ,bass,a,62,62.5,62.5,,,,
187,Bach,6,2.5,3,0.5,organ,bass,g,62.5,63,63.75,,,,
188,Bach,6,3,3.5,0.5,organ,bass,f,63,63.5,65,,,,
189,Bach,6,3.5,4,0.5,organ,bass,e,63.5,64,66.25,,,,
190,Bach,6,4,4.5,0.5,organ,bass,d,64,64.5,67.5,,,,
191,Bach,6,4.5,5,0.5,organ,bass,g,64.5,65,68.75,,,,
192,Bach,7,1,1.5,0.5,organ,bass,e,71,71.5,70,,,,
193,Bach,7,1.5,2,0.5,organ,bass,c,71.5,72,71.25,,,,
194,Bach,7,2.5,3,0.5,organ,bass,c,72.5,73,73.75,,,,
195,Bach,7,3,3.5,0.5,organ,bass,f,73,73.5,75,,,,
